gene_id,Col0_AWF_NT_R4,Col0_AWF_NT_R5,Col0_AWF_NT_R6,Col0_CL_R1,Col0_CL_R2,Col0_CL_R3,Col0_CL_ribo_R1,Col0_CL_ribo_R2,Col0_CL_ribo_R3,Col0_LSW_R1,Col0_LSW_R2,Col0_LSW_R3
AT4G26960,0,0,0,0,0,0,3,0,0,0,0,0
AT4G26965,0,0,0,9,0,5,19,17,0,0,0,0
AT4G26970,0,0,0,217,0,55,608,68,256,10,0,0
AT4G26980,0,0,0,19,0,4,25,11,26,0,0,0
AT4G26990,0,0,0,6,0,0,14,11,18,0,0,0
AT4G27000,0,0,0,136,21,214,459,545,946,23,0,0
AT4G27010,0,0,0,13,0,11,27,21,45,0,0,0
AT4G27020,0,0,0,13,5,10,91,23,23,0,0,0
AT4G27030,0,0,0,23,0,3,99,3,11,0,0,0
AT4G27040,0,0,0,42,0,12,107,51,68,0,0,0
AT4G27050,0,0,0,13,0,9,58,17,54,0,0,0
AT4G27052,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27060,0,0,0,52,0,19,153,25,88,14,0,0
AT4G27070,0,0,0,22,0,0,33,0,13,0,0,0
AT4G27080,0,0,0,11,0,12,88,22,60,0,0,0
AT4G27090,5,0,0,84,15,90,427,301,481,29,0,0
AT4G27100,0,0,0,16,0,0,50,25,60,6,0,0
AT4G27110,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27120,0,0,0,9,0,7,95,40,66,0,0,0
AT4G27130,0,0,0,27,16,106,102,624,429,20,0,0
AT4G27140,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27150,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27160,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27170,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27180,0,0,0,66,0,19,244,10,90,5,0,0
AT4G27190,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27200,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27210,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27220,0,0,0,0,0,0,0,6,14,0,0,0
AT4G27230,0,0,0,26,0,3,70,31,38,0,3,0
AT4G27240,0,0,0,12,0,9,36,9,24,0,0,0
AT4G27250,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27260,0,0,3,22,0,88,54,83,226,0,0,0
AT4G27270,0,0,0,5,0,0,13,0,6,0,0,0
AT4G27280,9,2,10,100,2,20,387,60,107,7,0,0
AT4G27290,0,0,0,0,0,3,12,0,0,0,0,0
AT4G27300,0,0,0,93,0,37,396,171,199,0,0,0
AT4G27310,0,0,4,84,5,26,374,52,157,0,0,0
AT4G27320,0,0,0,77,5,19,185,89,105,8,0,0
AT4G27330,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27340,0,0,0,7,0,0,55,20,23,0,0,0
AT4G27350,0,0,0,3,0,7,18,0,23,0,0,0
AT4G27360,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27370,0,0,0,0,0,0,0,0,5,0,0,0
AT4G27380,0,0,0,0,0,20,18,59,24,0,0,0
AT4G27390,0,0,0,7,3,22,81,31,32,0,0,0
AT4G27395,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27400,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27410,0,0,0,20,0,9,50,219,53,0,0,0
AT4G27415,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27420,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27430,12,18,5,219,0,92,797,10,343,14,0,3
AT4G27435,0,0,0,6,0,0,16,0,11,0,0,0
AT4G27440,0,0,0,656,12,382,2329,87,2236,54,0,0
AT4G27450,0,2,0,6,20,69,39,810,526,6,0,3
AT4G27460,0,0,0,0,0,5,0,7,7,0,0,0
AT4G27470,0,0,0,24,4,5,15,31,30,0,0,0
AT4G27480,0,0,0,0,0,0,22,0,15,0,0,0
AT4G27490,0,0,0,0,0,0,0,8,18,0,0,0
AT4G27500,31,12,9,224,5,141,737,86,673,18,0,0
AT4G27510,0,0,0,5,0,0,0,0,0,0,0,0
AT4G27520,7,10,0,474,0,29,315,7,30,0,0,0
AT4G27530,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27540,0,0,0,9,0,7,14,9,20,0,0,0
AT4G27550,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27560,0,0,3,45,0,8,315,38,25,3,0,0
AT4G27570,0,0,0,4,0,0,11,0,0,0,0,0
AT4G27580,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27585,0,0,0,8,0,0,57,21,14,3,0,0
AT4G27590,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27595,0,0,0,37,0,6,192,0,20,0,0,0
AT4G27597,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27600,0,0,0,73,11,40,211,102,194,0,0,0
AT4G27610,0,0,0,9,10,17,55,31,48,0,0,0
AT4G27620,0,0,0,10,0,0,48,11,10,0,0,0
AT4G27630,0,0,0,0,0,0,32,6,24,0,0,0
AT4G27640,0,0,3,51,0,52,175,62,285,9,0,0
AT4G27650,0,0,0,19,0,21,79,23,56,0,0,0
AT4G27652,3,0,0,12,0,0,83,2,5,0,0,0
AT4G27654,0,2,0,8,0,3,26,0,3,0,0,0
AT4G27657,0,0,0,6,0,0,48,5,9,0,2,0
AT4G27660,0,0,0,0,0,0,0,3,0,0,0,0
AT4G27670,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27680,0,0,0,8,0,0,86,32,35,0,0,0
AT4G27690,0,0,0,13,0,0,65,40,45,0,0,0
AT4G27700,0,0,0,161,0,8,450,42,63,0,0,0
AT4G27710,0,0,0,44,11,18,252,32,73,0,0,0
AT4G27720,10,0,0,69,0,14,266,0,78,0,0,0
AT4G27730,0,0,0,9,0,0,24,6,28,0,0,0
AT4G27740,0,0,0,49,0,0,97,68,34,6,0,0
AT4G27745,0,0,0,10,0,0,33,35,17,0,0,0
AT4G27750,0,0,0,10,0,8,54,60,67,0,0,0
AT4G27760,0,0,0,32,0,4,81,23,68,0,0,0
AT4G27765,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27780,0,0,0,7,0,0,46,24,37,0,0,0
AT4G27790,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27800,0,0,0,171,19,49,695,395,320,6,0,0
AT4G27810,0,0,0,0,0,0,0,0,0,0,0,0
AT4G27820,0,0,0,39,0,0,206,17,14,0,0,0
AT4G27830,0,0,0,44,0,5,147,31,39,0,0,0
AT4G27840,0,0,0,16,0,0,79,33,20,0,0,0
