"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G35370",15.3030183445888,0,1.96106057678136,0,1,1
"AT2G35630",12.0166218037442,0,2.32675437781235,0,1,1
"AT2G35940",29.5660649226115,0.289638094488561,2.04481240646569,0.141645313561638,0.887360172709463,1
"AT2G36530",34.2929865149346,0.215768129239579,2.11271830062694,0.102128205722245,0.918654913132532,1
"AT2G36850",14.843752755623,0,1.78605746427355,0,1,1
"AT2G36880",38.5946687552115,-0.157039676936315,1.77906607673482,-0.0882708512010613,0.929661405872363,1
"AT2G37410",32.823022929215,0.223608594055368,1.60554132627255,0.139273022996239,0.88923440662998,1
"AT2G38170",43.3647947469667,0,1.85037514391141,0,1,1
"AT2G38800",30.3719011355998,-0.144659840188536,1.21010714755207,-0.119543001197183,0.904845174238094,1
"AT2G39570",16.7884057772924,0,2.43738873856518,0,1,1
"AT2G40060",20.522535601277,-0.231695250873996,1.33216725093185,-0.173923545044307,0.861925548361667,1
"AT2G40840",23.398991263233,0,2.6787946273423,0,1,1
"AT2G42600",40.7047601350186,0.124996715926932,1.72702189374546,0.0723770302968462,0.942301864012588,1
"AT2G42690",17.7748479688285,0,2.01409861822626,0,1,1
"AT2G42890",19.7601757473792,0,2.10647998260062,0,1,1
"AT2G44490",48.4218605818434,-0.293609397408218,1.80905430088403,-0.162299936085246,0.871069665009508,1
"AT2G45470",12.7464043244534,-0.101289159254337,2.03957081064804,-0.0496619968895095,0.960391741158812,1
"AT2G45670",12.4459064479823,0,1.78620585778778,0,1,1
"AT2G45980",12.90225683735,0,2.00805996875863,0,1,1
"AT2G46370",14.6379636707775,0.270911154223371,1.69312993301129,0.160006121763819,0.872876251881325,1
"AT2G46440",12.5689460724598,0,2.38271546434272,0,1,1
"AT2G47450",36.9252029397819,0.109134308244191,1.36613793721043,0.0798852775196602,0.936328499241585,1
"AT2G47710",12.4510291513697,0,1.8153269748586,0,1,1
"AT3G01290",43.7164156567524,-0.26878167454678,1.55989992708515,-0.172306998596396,0.863196182559835,1
"AT3G02730",13.578683509351,0,2.60904387633121,0,1,1
"AT3G03470",18.3839505405703,0,2.14393129876982,0,1,1
"AT3G04910",13.9490853031626,0,1.78234595943292,0,1,1
"AT3G05880",20.8415680208293,-0.186524111250434,2.17893459124686,-0.0856033549605996,0.931781731379449,1
"AT3G05900",22.6238157273729,0,2.74155445699284,0,1,1
"AT3G08530",54.5520172167444,0.0765078890511419,2.21411819883604,0.0345545640207293,0.972434932502359,1
"AT3G09390",122.388030850699,0.117215937445088,1.83878353240262,0.0637464581227407,0.949172111713962,1
"AT3G09630",23.6437892163172,-0.160681236805624,1.49801062179564,-0.107263082429294,0.914580271480758,1
"AT3G10410",12.9281479853187,0,1.97070331729961,0,1,1
"AT3G10420",16.2672018528946,0,2.102446528964,0,1,1
"AT3G11410",36.9472278604407,0,2.12549471377285,0,1,1
"AT3G11930",14.2967582528679,0,1.8354965679847,0,1,1
"AT3G12390",12.7441782830448,-0.166763453138415,1.78749751631853,-0.0932943691479223,0.925669705343272,1
"AT3G12490",12.6210288048979,0,1.79681000986369,0,1,1
"AT3G13062",15.7326591754564,0,2.0558816017126,0,1,1
"AT3G13300",25.9601865821933,-0.133920050136178,1.63188049962709,-0.082064863307565,0.934595133865595,1
"AT3G13410",12.3071900345751,0,1.79023798309783,0,1,1
"AT3G14100",42.7091617132089,0.309533933681711,1.67961968806141,0.184288107529253,0.853787442965394,1
"AT3G14840",13.3213758479283,0,2.28092198686928,0,1,1
"AT3G14990",12.2647273663066,0,2.45157844578459,0,1,1
"AT3G16240",70.8375366803734,0,2.30243674974737,0,1,1
"AT3G16850",14.9372177992234,0,1.8022778580582,0,1,1
"AT3G16857",13.3723806298345,0,1.87703739925582,0,1,1
"AT3G17100",13.0693425746884,0,1.98946244563837,0,1,1
"AT3G18080",20.870414852728,0,2.38678246758378,0,1,1
"AT3G19170",17.1876587561885,0,2.56390663553746,0,1,1
"AT3G19720",12.2371145422619,0,2.54200966833971,0,1,1
"AT3G23820",34.001203783576,-0.253355542623241,1.85871670141413,-0.13630670151642,0.89157882628828,1
"AT3G24160",12.6238846305822,0,2.28812721269323,0,1,1
"AT3G27020",13.3175308988283,0,1.99357730839323,0,1,1
"AT3G28180",12.9729664738119,0,2.47285906628831,0,1,1
"AT3G28860",21.9408891823373,0,2.58500170653826,0,1,1
"AT3G28940",47.9061549833567,-0.00805749387265743,1.83691727193818,-0.00438642174895321,0.996500153032592,1
"AT3G29240",18.0388429330339,0,1.82526762750555,0,1,1
"AT3G29320",21.3629820163707,0,2.60416791809834,0,1,1
"AT3G45300",18.9615152628661,0,2.229291156412,0,1,1
"AT3G45860",17.0897712130434,0,1.89594346376619,0,1,1
"AT3G46600",21.2541617901263,-0.146165696825588,1.44911460929419,-0.100865518771341,0.919657215505143,1
"AT3G46640",14.6280843037063,0.301692607112117,1.91384936334144,0.157636548043355,0.874743202445164,1
"AT3G48360",45.3826281106541,0,3.64630146415114,0,1,1
"AT3G48740",13.2003718010801,0,1.85226571460727,0,1,1
"AT3G49790",14.762719577094,-0.273911530758935,2.0509367393877,-0.133554353724587,0.893754981170062,1
"AT3G50590",16.3656933188567,-0.173316531864236,1.58205832743765,-0.109551290782651,0.912765242371758,1
"AT3G51000",13.0050938226816,0,1.90112144334668,0,1,1
"AT3G51550",40.154076339961,-0.132562859589138,1.50914384355024,-0.0878397776034955,0.930004021981837,1
"AT3G51730",24.7033717016784,0,1.98526474716579,0,1,1
"AT3G51840",26.6852383121066,-0.011633650613913,1.61855506521788,-0.00718767675188545,0.994265113071626,1
"AT3G51880",14.326090477025,0,1.89010409700366,0,1,1
"AT3G51950",17.6585778789712,0,2.26400189086226,0,1,1
"AT3G52850",15.0380403264751,0,1.74311121759734,0,1,1
"AT3G55610",14.6977901161019,0,2.34493907252261,0,1,1
"AT3G56400",25.661020129948,-0.0234127207037863,1.46899609221671,-0.0159379053680508,0.987283929726879,1
"AT3G56820",23.7803736613101,0,2.76423032044164,0,1,1
"AT3G58500",20.7817825466697,-0.23247869274414,1.26471784097828,-0.18381862357877,0.854155745583329,1
"AT3G59400",28.663573681389,-0.171027328852152,1.33232268068868,-0.128367798080078,0.897857913697285,1
"AT3G59780",14.9137828148388,0,2.45216747220019,0,1,1
"AT3G61430",18.5610916956832,0,2.28814041341162,0,1,1
"AT3G61460",13.6415712130022,0,1.90042262444047,0,1,1
"AT3G62650",23.4263290052999,-0.0174279421981493,1.86091010412195,-0.00936527893504698,0.992527697760947,1
"AT3G62700",20.9433666260185,0,2.12447171895986,0,1,1
"AT4G01150",56.6062443019934,0.0987171117009518,1.65633048102211,0.0595998883266546,0.952474307314762,1
"AT4G01610",22.2320755346569,0,2.06610382713781,0,1,1
"AT4G02970",226.792905885491,0.14946729469952,1.08320321451898,0.13798638399157,0.89025117860439,1
"AT4G03260",12.6984750496269,0,1.81282095965649,0,1,1
"AT4G03560",22.8069350237742,0,1.72679085348085,0,1,1
"AT4G04570",12.2927538134059,0,1.78673071407922,0,1,1
"AT4G04770",18.4908103414327,0,1.93592198146749,0,1,1
"AT4G05070",37.2953032340052,0.144536061163718,1.43935864295305,0.1004169891023,0.920013282584791,1
"AT4G05180",285.774961472159,0.0311064455873012,1.23602748718848,0.0251664675015093,0.979922183537445,1
"AT4G05420",12.4603748675986,0,1.80325444202401,0,1,1
"AT4G10840",17.0644710295736,-0.0845100756532425,1.98032537965829,-0.0426748434986098,0.965960733275789,1
"AT4G11260",12.0678391464818,0,2.23348339521,0,1,1
"AT4G11380",12.753458803106,0.157882313118381,1.90987395327989,0.0826663523251072,0.934116840221289,1
"AT4G11570",19.1477694091458,0.227962896589112,1.72751340631102,0.131960131687725,0.895015826214864,1
"AT4G13495",19.6288003648007,0,2.37299678087815,0,1,1
"AT4G13510",27.6834194748595,0,1.90287165724974,0,1,1
"AT4G13530",12.689739601377,0,2.00616520990595,0,1,1
"AT4G16520",13.6858576765743,0,1.94516864688751,0,1,1
"AT4G16890",46.5718400161205,0.186873605062737,1.40884081969706,0.132643519729162,0.894475312731645,1
"AT4G17520",15.5767545995961,-0.174711708152707,1.87202441006917,-0.0933276869751134,0.925643237043599,1
"AT4G18030",19.3684455281343,0.14972220502176,1.61309376554159,0.0928168022343642,0.926049102381167,1
