"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT4G34480",13.8149940879054,-4.89802832120963,1.38526596403337,-3.53580355569297,0.00040653687935708,0.0177906082091377
"AT1G03475",13.481109178516,-4.70092750699806,1.33071776667415,-3.53262549334337,0.000411454890927314,0.017803514437765
"AT1G58561",30.563497939474,-3.53549359902267,1.00374153426246,-3.52231473774821,0.000427795926911997,0.0181037595004187
"AT5G57580",11.624257394481,-4.50327253619001,1.27801734899239,-3.52363959670849,0.000425662804752177,0.0181037595004187
"AT3G16850",14.9372177992234,-4.82661674069695,1.37231993584916,-3.5171220752618,0.000436253095702762,0.0181853337778559
"AT5G06530",20.4766369915016,-5.00941876162756,1.42554709059769,-3.51403246842394,0.000441358861823898,0.0181853337778559
"AT5G14740",47.4067780203585,-4.0532890401285,1.15395701532545,-3.51251301937392,0.000443890255808479,0.0181853337778559
"AT1G01620",32.3517533563599,-5.67836767569604,1.6205006667863,-3.5040822827658,0.000458183762534268,0.0184977642964496
"AT1G68520",72.8678571341656,-6.71830518370153,1.91821193232131,-3.50237899707537,0.000461123181630527,0.0184977642964496
"AT5G47110",16.0518353127888,-4.67259316766094,1.33605351093838,-3.49730989769949,0.000469975536902112,0.0186585133258766
"AT1G67700",15.1552440948627,-4.73758694927871,1.35920691816317,-3.48555240998998,0.000491122005406484,0.0191041499274785
"AT3G33072",15.0033173636546,8.92665444841427,2.55949711003156,3.4876595146084,0.000487268164810666,0.0191041499274785
"AT3G04910",13.9490853031626,-4.68812610065082,1.34664227643116,-3.481344810498,0.000498902791106364,0.0192127464855061
"AT2G07746",8.01390327053384,7.11739450686785,2.04695398384324,3.47706619838353,0.000506932639199937,0.0193286890451382
"AT4G04570",12.2927538134059,-4.69850640301376,1.35242061393794,-3.47414580537395,0.000512482470456583,0.0193487254287088
"AT5G53902",70.6328769373777,-3.62138159856889,1.04417239118986,-3.46818363435394,0.000523989092678759,0.0195910873388922
"AT2G23760",16.594921310015,-5.03254617710243,1.45582691551562,-3.45683001424659,0.000546569505436032,0.0200460872898491
"AT3G16240",70.8375366803734,-6.84603379006672,1.97984338205919,-3.45786634039018,0.000544471434938647,0.0200460872898491
"AT1G08930",67.5474645074099,-6.06075442017426,1.7575813522424,-3.44834929685712,0.000564024119520107,0.0204911026818107
"AT1G51570",17.1543034252468,-4.55739888542748,1.32470488639698,-3.44031257997622,0.000581042704936663,0.0207184764510286
"AT3G49220",16.7674151285485,-5.04059523305577,1.46443393258765,-3.44200931219141,0.000577410372184741,0.0207184764510286
"AT1G66880",19.3423828211432,-5.41753971734455,1.57784196500994,-3.43351225121612,0.000595815277287394,0.0210503177324198
"AT1G28440",12.7552273959686,-4.44636209646676,1.29960328176132,-3.42132261349842,0.000623173621102807,0.0218167419533355
"AT4G03260",12.6984750496269,-4.72298239658066,1.38674960408125,-3.40579321795425,0.00065972126986797,0.022888167660014
"AT1G07110",12.8534363569854,-4.59011573323753,1.35039451738427,-3.39909239422019,0.000676098724207722,0.0232469302403923
"AT2G31880",42.5492183923867,-3.64716043938582,1.07400417647657,-3.39585312540484,0.000684150604081876,0.0233156104099053
"AT1G68010",46.4854278368363,-6.28765855457636,1.86093589039915,-3.37876150759161,0.000728131446328052,0.0233669516650777
"AT1G71040",10.7423845211792,-4.63860415695599,1.36795615348615,-3.39090119601771,0.000696632105582229,0.0233669516650777
"AT1G72180",13.060618492172,-4.75783885698147,1.4034109723986,-3.39019642182914,0.000698425617572455,0.0233669516650777
"AT3G54810",48.2023548201512,-4.52383881353124,1.33803687719428,-3.38095226718807,0.000722350900844519,0.0233669516650777
"AT5G25560",12.2665143673861,-4.67108536613923,1.38145013881738,-3.38129132198575,0.000721460088831656,0.0233669516650777
"AT5G42530",138.859295691442,-3.47075204707172,1.0246409460334,-3.38728611276733,0.000705877325216704,0.0233669516650777
"AT5G53170",13.4505927412866,-4.61876396006462,1.36566783803216,-3.38205516117299,0.000719456962304035,0.0233669516650777
"AT1G16880",23.7822198966203,-5.35350957216734,1.58820372937955,-3.37079524064506,0.00074951544368042,0.0238544130050686
"AT3G29240",18.0388429330339,-4.70873892419377,1.40312579221658,-3.35589221601804,0.000791093936048236,0.0247683150221281
"AT4G08920",36.5626954582991,-3.21259993560406,0.956881400130132,-3.35736480525921,0.000786892150293153,0.0247683150221281
"AT1G62390",20.1200575015454,-4.35096011520598,1.29821344313888,-3.35149827495702,0.000803755397267963,0.0249617906038623
"AT3G11410",36.9472278604407,-5.93223218837175,1.77246674866445,-3.34687925335789,0.000817268005971742,0.0251783927279774
"AT1G70160",14.9010059356982,-4.63100523434819,1.38490495616097,-3.34391556167549,0.000826048752503187,0.0252469344911887
"AT3G48740",13.2003718010801,-4.80242247864375,1.43767670205539,-3.34040502414619,0.00083656288816032,0.0253669581283889
"AT1G54100",28.3266739135242,-5.31000235391614,1.59162874779376,-3.33620661305383,0.000849300187562836,0.0255519923617538
"AT1G65980",17.279988365842,-4.83659891165283,1.45115779356927,-3.33292418859339,0.000859383558016201,0.0256008882382364
"AT5G11770",9.27347413428086,-4.54915275511679,1.36555337880317,-3.33136208787668,0.000864221103861523,0.0256008882382364
"AT1G42550",20.2502280713998,-4.82670648082937,1.45151709561267,-3.32528393597187,0.000883285320245286,0.0257691800626106
"AT1G51805",22.7774697936075,-5.44317870329128,1.63613598729918,-3.32684981294037,0.000878336988206017,0.0257691800626106
"AT4G36870",11.6229267963286,-4.82028292911729,1.45089440969242,-3.32228375608613,0.000892838465208824,0.025852037064054
"AT2G16280",12.510835657635,-4.48890700000899,1.35294443367927,-3.31787979481286,0.000907035100049977,0.0258740160762404
"AT3G45860",17.0897712130434,-4.95402977048942,1.49288707367742,-3.31842230925491,0.000905275018269034,0.0258740160762404
"AT1G02840",14.9733093196412,-4.74437280939418,1.43321852323071,-3.31029269611976,0.000931984588377366,0.026390240072362
"AT1G11260",138.396843317752,-7.80526784360327,2.35937479539692,-3.30819328019913,0.000938999796276625,0.0263948044924181
"AT3G05530",11.700492154908,-4.46474386422547,1.35184215043367,-3.30271094357664,0.000957550373876427,0.0267212064478125
"AT3G13410",12.3071900345751,-4.47583897743047,1.35839300029685,-3.29495144369292,0.000984386876000172,0.0272724738091846
"AT2G45670",12.4459064479823,-4.44795258631487,1.353208099369,-3.28696864021798,0.00101272110818603,0.0278570641973171
"AT2G25800",10.09613232532,-4.30121087288021,1.31094360353346,-3.28100374515495,0.00103438370747057,0.0282511465068735
"AT1G72610",92.4100346710469,-2.87399366919145,0.876608164367876,-3.27853856034286,0.00104346107080599,0.0282983703075624
"AT1G03600",29.4207925239658,-3.25981526247402,1.00465777704118,-3.24470216323265,0.00117573526625005,0.0283784035752661
"AT1G14400",18.2758488402687,-5.05446989597452,1.55327023758653,-3.25408275628081,0.00113759134987173,0.0283784035752661
"AT1G20010",22.4771750543556,-5.36505784787287,1.64782096269324,-3.25584997966289,0.00113053469058434,0.0283784035752661
"AT1G29930",2993.55137246902,-2.46200693950176,0.757340436624521,-3.25085895383451,0.00115056922883062,0.0283784035752661
"AT1G65260",14.0011198501776,-4.59027351129547,1.41031231120449,-3.25479220086728,0.00113475360525157,0.0283784035752661
